Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.7609"
"0.0200","0.0000","0.7614"
"0.0400","0.0014","0.7631"
"0.0600","0.0046","0.7726"
"0.0800","0.0088","0.7898"
"0.1000","0.0133","0.8054"
"0.1200","0.0176","0.8162"
"0.1400","0.0213","0.8232"
"0.1600","0.0248","0.8279"
"0.1800","0.0282","0.8310"
"0.2000","0.0315","0.8329"
"0.2200","0.0348","0.8344"
"0.2400","0.0383","0.8358"
"0.2600","0.0418","0.8376"
"0.2800","0.0451","0.8389"
"0.3000","0.0485","0.8398"
"0.3200","0.0519","0.8404"
"0.3400","0.0552","0.8410"
"0.3600","0.0584","0.8412"
"0.3800","0.0618","0.8416"
"0.4000","0.0652","0.8426"
"0.4200","0.0684","0.8434"
"0.4400","0.0718","0.8437"
"0.4600","0.0753","0.8449"
"0.4800","0.0786","0.8451"
"0.5000","0.0818","0.8445"
"0.5200","0.0853","0.8446"
"0.5400","0.0887","0.8443"
"0.5600","0.0919","0.8437"
"0.5800","0.0953","0.8429"
"0.6000","0.0986","0.8418"
"0.6200","0.1020","0.8413"
"0.6400","0.1051","0.8401"
"0.6600","0.1086","0.8390"
"0.6800","0.1120","0.8385"
"0.7000","0.1153","0.8375"
"0.7200","0.1186","0.8363"
"0.7400","0.1220","0.8357"
"0.7600","0.1254","0.8349"
"0.7800","0.1286","0.8340"
"0.8000","0.1320","0.8336"
"0.8200","0.1354","0.8341"
"0.8400","0.1387","0.8340"
"0.8600","0.1419","0.8334"
"0.8800","0.1453","0.8330"
"0.9000","0.1487","0.8326"
"0.9200","0.1519","0.8327"
"0.9400","0.1553","0.8328"
"0.9600","0.1587","0.8328"
"0.9800","0.1620","0.8329"
"1.0000","0.1653","0.8325"
"1.0200","0.1686","0.8326"
"1.0400","0.1721","0.8325"
"1.0600","0.1753","0.8324"
"1.0800","0.1787","0.8323"
"1.1000","0.1820","0.8319"
"1.1200","0.1854","0.8318"
"1.1400","0.1886","0.8309"
"1.1600","0.1919","0.8306"
"1.1800","0.1954","0.8310"
"1.2000","0.1986","0.8313"
"1.2200","0.2019","0.8312"
"1.2400","0.2053","0.8314"
"1.2600","0.2088","0.8316"
"1.2800","0.2119","0.8313"
"1.3000","0.2154","0.8313"
"1.3200","0.2188","0.8308"
"1.3400","0.2221","0.8308"
"1.3600","0.2253","0.8306"
"1.3800","0.2287","0.8308"
